city_ascii,lat,lng,country,iso2,iso3,population
Cairo,30.0561,31.2394,Egypt,EG,EGY,19372000
Moscow,55.7558,37.6178,Russia,RU,RUS,17125000
Istanbul,41.01,28.9603,Turkey,TR,TUR,15154000
Khartoum,15.6031,32.5265,Sudan,SD,SDN,7282000
Riyadh,24.65,46.71,"Saudi Arabia",SA,SAU,6881000
Baghdad,33.35,44.4167,Iraq,IQ,IRQ,5796000
Ankara,39.93,32.85,Turkey,TR,TUR,5503985
"Saint Petersburg",59.95,30.3167,Russia,RU,RUS,5351935
Alexandria,31.2,29.9167,Egypt,EG,EGY,4870000
Izmir,38.4127,27.1384,Turkey,TR,TUR,4320519
Amman,31.95,35.9333,Jordan,JO,JOR,4007526
Jeddah,21.5428,39.1728,"Saudi Arabia",SA,SAU,3976000
"Addis Ababa",9.0272,38.7369,Ethiopia,ET,ETH,3041002
Giza,29.987,31.2118,Egypt,EG,EGY,3021542
Kyiv,50.45,30.5236,Ukraine,UA,UKR,2967000
Sanaa,15.35,44.2,Yemen,YE,YEM,2957000
Bursa,40.1833,29.0667,Turkey,TR,TUR,2901396
Omdurman,15.6835,32.4629,Sudan,SD,SDN,2805396
Antalya,36.9081,30.6956,Turkey,TR,TUR,2426356
Konya,37.8714,32.4847,Turkey,TR,TUR,2232374
Adana,37,35.325,Turkey,TR,TUR,2220125
Baku,40.3667,49.8352,Azerbaijan,AZ,AZE,2181800
Mogadishu,2.0408,45.3425,Somalia,SO,SOM,2120000
Gaziantep,37.0667,37.3833,Turkey,TR,TUR,2028563
Minsk,53.9022,27.5618,Belarus,BY,BLR,2020600
Sanliurfa,37.1583,38.7917,Turkey,TR,TUR,1985753
Aleppo,36.2,37.15,Syria,SY,SYR,1834093
Mersin,36.8,34.6167,Turkey,TR,TUR,1814468
Damascus,33.5131,36.2919,Syria,SY,SYR,1754000
Diyarbakir,37.9108,40.2367,Turkey,TR,TUR,1732396
Mecca,21.4225,39.8261,"Saudi Arabia",SA,SAU,1700000
Mosul,36.3667,43.1167,Iraq,IQ,IRQ,1694000
Karaj,35.8327,50.9915,Iran,IR,IRN,1592492
Tabriz,38.0833,46.2833,Iran,IR,IRN,1558693
Kharkiv,50,36.2292,Ukraine,UA,UKR,1446107
Kayseri,38.7333,35.4833,Turkey,TR,TUR,1389680
Samsun,41.2867,36.33,Turkey,TR,TUR,1335716
"Nizhniy Novgorod",56.3269,44.0075,Russia,RU,RUS,1264075
Kazan,55.7908,49.1144,Russia,RU,RUS,1243500
"Al Basrah",30.4889,47.81,Iraq,IQ,IRQ,1225793
Qom,34.6461,50.8789,Iran,IR,IRN,1201158
Ahvaz,31.3203,48.6692,Iran,IR,IRN,1184788
Medina,24.4667,39.6,"Saudi Arabia",SA,SAU,1180770
Samara,53.1833,50.1167,Russia,RU,RUS,1169719
Rostov,47.2333,39.7167,Russia,RU,RUS,1125299
Tbilisi,41.7225,44.7925,Georgia,GE,GEO,1118035
Irbid,32.5556,35.85,Jordan,JO,JOR,1088100
Yerevan,40.1814,44.5144,Armenia,AM,ARM,1075800
Voronezh,51.6717,39.2106,Russia,RU,RUS,1047549
Tekirdag,40.9833,27.5167,Turkey,TR,TUR,1029927
"Shubra al Khaymah",30.1286,31.2422,Egypt,EG,EGY,1025569
Volgograd,48.7,44.4833,Russia,RU,RUS,1015586
Odesa,46.4775,30.7326,Ukraine,UA,UKR,1010783
Asmara,15.3333,38.9167,Eritrea,ER,ERI,963000
Jerusalem,31.7833,35.2167,Israel,IL,ISR,919438
Chisinau,47.0056,28.8575,Moldova,MD,MDA,685900
"Kuwait City",29.375,47.98,Kuwait,KW,KWT,637411
Djibouti,11.595,43.1481,Djibouti,DJ,DJI,562000
Beirut,33.8869,35.5131,Lebanon,LB,LBN,361366
Juba,4.85,31.6,"South Sudan",SS,SSD,372410
Nicosia,35.1725,33.365,Cyprus,CY,CYP,330000
Manama,26.2167,50.5831,Bahrain,BH,BHR,157474
"Al Quds",31.7764,35.2269,"West Bank",XW,XWB,
Dnipro,48.45,34.9833,Ukraine,UA,UKR,983836
Kirkuk,35.4667,44.4,Iraq,IQ,IRQ,975000
Denizli,37.7731,29.0878,Turkey,TR,TUR,963464
"Khartoum North",15.6333,32.6333,Sudan,SD,SDN,936349
Donetsk,48.0089,37.8042,Ukraine,UA,UKR,929063
"Ad Dammam",26.4333,50.1,"Saudi Arabia",SA,SAU,903312
Homs,34.7333,36.7167,Syria,SY,SYR,900492
Krasnodar,45.0333,38.9833,Russia,RU,RUS,881476
Eskisehir,39.7767,30.5206,Turkey,TR,TUR,871187
Erbil,36.1911,44.0094,Iraq,IQ,IRQ,852500
Kermanshah,34.3167,47.0686,Iran,IR,IRN,851405
Saratov,51.5333,46,Russia,RU,RUS,845300
Trabzon,41.005,39.7225,Turkey,TR,TUR,807903
Erzurum,39.9097,41.2756,Turkey,TR,TUR,767848
Zaporizhzhia,47.8378,35.1383,Ukraine,UA,UKR,741717
Orumiyeh,37.55,45.1,Iran,IR,IRN,736224
"An Najaf",32.029,44.3396,Iraq,IQ,IRQ,724700
Tolyatti,53.5167,49.4167,Russia,RU,RUS,707408
Latakia,35.5236,35.7917,Syria,SY,SYR,700000
Karbala',32.6167,44.0333,Iraq,IQ,IRQ,690100
"As Sulaymaniyah",35.55,45.4333,Iraq,IQ,IRQ,656100
Rasht,37.2833,49.6,Iran,IR,IRN,639951
"Al Hufuf",25.3608,49.5997,"Saudi Arabia",SA,SAU,637389
Tripoli,34.4333,35.8333,Lebanon,LB,LBN,530000
"Kryvyy Rih",47.9086,33.3433,Ukraine,UA,UKR,629695
Halwan,29.8419,31.3342,Egypt,EG,EGY,619293
Ulyanovsk,54.3167,48.3667,Russia,RU,RUS,624518
Buraydah,26.3333,43.9667,"Saudi Arabia",SA,SAU,614093
Ta`izz,13.5789,44.0219,Yemen,YE,YEM,596672
Yaroslavl,57.6167,39.85,Russia,RU,RUS,608079
"Al Hillah",23.4895,46.7564,"Saudi Arabia",SA,SAU,594605
Makhachkala,42.9833,47.4833,Russia,RU,RUS,592976
"At Ta'if",21.2667,40.4167,"Saudi Arabia",SA,SAU,579970
"Al Mahallah al Kubra",30.9667,31.1667,Egypt,EG,EGY,543271
"Al Hudaydah",14.8022,42.9511,Yemen,YE,YEM,548433
Eslamshahr,35.5333,51.2,Iran,IR,IRN,548620
"An Nasiriyah",31.0539,46.2503,Iraq,IQ,IRQ,541600
"Al Hillah",32.4833,44.4333,Iraq,IQ,IRQ,541034
Ryazan,54.6167,39.7167,Russia,RU,RUS,537622
Kassala,15.45,36.4,Sudan,SD,SDN,536009
Astrakhan,46.3333,48.0167,Russia,RU,RUS,532504
Hamadan,34.8065,48.5162,Iran,IR,IRN,528256
Penza,53.2,45,Russia,RU,RUS,523726
"Port Said",31.25,32.2833,Egypt,EG,EGY,524433
Homyel',52.4417,30.9833,Belarus,BY,BLR,510300
Tabuk,28.3972,36.5789,"Saudi Arabia",SA,SAU,512629
Lipetsk,52.6167,39.6,Russia,RU,RUS,510439
Aden,12.8,45.0333,Yemen,YE,YEM,507355
Kirov,58.6,49.65,Russia,RU,RUS,501468
"Madinat as Sadis min Uktubar",29.9361,30.9269,Egypt,EG,EGY,500000
Mykolaiv,46.9667,32,Ukraine,UA,UKR,498748
Cheboksary,56.1333,47.25,Russia,RU,RUS,489498
"Port Sudan",19.6158,37.2164,Sudan,SD,SDN,489275
Tula,54.2,37.6167,Russia,RU,RUS,485221
Suez,29.9667,32.5333,Egypt,EG,EGY,485342
Nazret,8.55,39.27,Ethiopia,ET,ETH,476892
Arak,34.08,49.7,Iran,IR,IRN,484212
"Az Zarqa'",32.0833,36.1,Jordan,JO,JOR,481300
Ardabil,38.25,48.3,Iran,IR,IRN,482632
Ba`qubah,33.7447,44.6436,Iraq,IQ,IRQ,467900
