city_ascii,lat,lng,country,iso2,iso3,population
Sydney,-33.865,151.2094,Australia,AU,AUS,5312163
Melbourne,-37.8136,144.9631,Australia,AU,AUS,5078193
Brisbane,-27.4678,153.0281,Australia,AU,AUS,2514184
Perth,-31.9522,115.8589,Australia,AU,AUS,2059484
Adelaide,-34.9289,138.6011,Australia,AU,AUS,1345777
Canberra,-35.2931,149.1269,Australia,AU,AUS,426704
Newcastle,-32.9167,151.75,Australia,AU,AUS,322278
Wollongong,-34.4331,150.8831,Australia,AU,AUS,302739
Geelong,-38.15,144.35,Australia,AU,AUS,263280
Townsville,-19.2564,146.8183,Australia,AU,AUS,180820
Ipswich,-27.6167,152.7667,Australia,AU,AUS,163000
Cairns,-16.9303,145.7703,Australia,AU,AUS,152729
Darwin,-12.4381,130.8411,Australia,AU,AUS,136828
Toowoomba,-27.5667,151.95,Australia,AU,AUS,136861
Ballarat,-37.55,143.85,Australia,AU,AUS,105471
Caloundra,-26.7986,153.1289,Australia,AU,AUS,41293
Campbelltown,-34.0733,150.8261,Australia,AU,AUS,12566
Leopold,-38.1892,144.4644,Australia,AU,AUS,12814
Concord,-33.8444,151.0903,Australia,AU,AUS,5914
Corinda,-27.4833,153.1,Australia,AU,AUS,11019
Wentworthville,-33.8233,150.9678,Australia,AU,AUS,6197
Bendigo,-36.75,144.2667,Australia,AU,AUS,99122
Mackay,-21.1411,149.1861,Australia,AU,AUS,80148
Rockhampton,-23.375,150.5117,Australia,AU,AUS,78592
Maitland,-32.7167,151.55,Australia,AU,AUS,78015
Bunbury,-33.3333,115.6333,Australia,AU,AUS,74363
"Coffs Harbour",-30.3022,153.1189,Australia,AU,AUS,71822
Bundaberg,-24.85,152.35,Australia,AU,AUS,70921
"Wagga Wagga",-35.1189,147.3689,Australia,AU,AUS,56442
"Hervey Bay",-25.2853,152.8728,Australia,AU,AUS,54674
Shepparton,-36.3833,145.4,Australia,AU,AUS,51631
Albury,-36.0806,146.9158,Australia,AU,AUS,47974
"Port Macquarie",-31.4333,152.9,Australia,AU,AUS,47973
Pakenham,-38.0712,145.4878,Australia,AU,AUS,46421
Tamworth,-31.0833,150.9167,Australia,AU,AUS,42872
